Transaction ID,Date,Customer ID,Product Category,Quantity,Price per Unit,Total Amount
1,24-11-2023,CUST001,Beauty,3,50,150
2,27-02-2023,CUST002,Clothing,2,500,1000
3,13-01-2023,CUST003,Electronics,1,30,30
4,21-05-2023,CUST004,Clothing,1,500,500
5,06-05-2023,CUST005,Beauty,2,50,100
6,25-04-2023,CUST006,Beauty,1,30,30
7,13-03-2023,CUST007,Clothing,2,25,50
8,22-02-2023,CUST008,Electronics,4,25,100
9,13-12-2023,CUST009,Electronics,2,300,600
10,07-10-2023,CUST010,Clothing,4,50,200
11,14-02-2023,CUST011,Clothing,2,50,100
12,30-10-2023,CUST012,Beauty,3,25,75
13,05-08-2023,CUST013,Electronics,3,500,1500
14,17-01-2023,CUST014,Clothing,4,30,120
15,16-01-2023,CUST015,Electronics,4,500,2000
16,17-02-2023,CUST016,Clothing,3,500,1500
17,22-04-2023,CUST017,Clothing,4,25,100
18,30-04-2023,CUST018,Electronics,2,25,50
19,16-09-2023,CUST019,Clothing,2,25,50
20,05-11-2023,CUST020,Clothing,3,300,900
21,14-01-2023,CUST021,Beauty,1,500,500
22,15-10-2023,CUST022,Clothing,2,50,100
23,12-04-2023,CUST023,Clothing,4,30,120
24,29-11-2023,CUST024,Clothing,1,300,300
25,26-12-2023,CUST025,Beauty,1,50,50
26,07-10-2023,CUST026,Electronics,2,500,1000
27,03-08-2023,CUST027,Beauty,2,25,50
28,23-04-2023,CUST028,Beauty,1,500,500
29,18-08-2023,CUST029,Electronics,1,30,30
30,29-10-2023,CUST030,Beauty,3,300,900
31,23-05-2023,CUST031,Electronics,4,300,1200
32,04-01-2023,CUST032,Beauty,3,30,90
33,23-03-2023,CUST033,Electronics,2,50,100
34,24-12-2023,CUST034,Clothing,3,50,150
35,05-08-2023,CUST035,Beauty,3,300,900
36,24-06-2023,CUST036,Beauty,3,300,900
37,23-05-2023,CUST037,Beauty,3,25,75
38,21-03-2023,CUST038,Beauty,4,50,200
39,21-04-2023,CUST039,Clothing,4,30,120
40,22-06-2023,CUST040,Beauty,1,50,50
41,22-02-2023,CUST041,Clothing,2,25,50
42,17-02-2023,CUST042,Clothing,3,300,900
43,14-07-2023,CUST043,Clothing,1,300,300
44,19-02-2023,CUST044,Clothing,1,25,25
45,03-07-2023,CUST045,Electronics,1,30,30
46,26-06-2023,CUST046,Electronics,4,300,1200
47,06-11-2023,CUST047,Beauty,3,500,1500
48,16-05-2023,CUST048,Electronics,3,300,900
49,23-01-2023,CUST049,Electronics,2,500,1000
50,24-08-2023,CUST050,Beauty,3,25,75
51,02-10-2023,CUST051,Beauty,3,25,75
52,05-03-2023,CUST052,Beauty,1,300,300
53,13-07-2023,CUST053,Electronics,2,50,100
54,10-02-2023,CUST054,Electronics,3,500,1500
55,10-10-2023,CUST055,Beauty,4,30,120
56,31-05-2023,CUST056,Clothing,3,300,900
57,18-11-2023,CUST057,Beauty,1,30,30
58,13-11-2023,CUST058,Clothing,4,300,1200
59,05-07-2023,CUST059,Clothing,1,50,50
60,23-10-2023,CUST060,Beauty,3,50,150
61,09-04-2023,CUST061,Beauty,4,50,200
62,27-12-2023,CUST062,Beauty,2,50,100
63,05-02-2023,CUST063,Electronics,2,25,50
64,24-01-2023,CUST064,Clothing,4,25,100
65,05-12-2023,CUST065,Electronics,4,500,2000
66,27-04-2023,CUST066,Electronics,1,30,30
67,29-05-2023,CUST067,Beauty,4,300,1200
68,10-02-2023,CUST068,Electronics,1,300,300
69,30-04-2023,CUST069,Beauty,3,25,75
70,21-02-2023,CUST070,Clothing,1,300,300
71,14-07-2023,CUST071,Beauty,4,25,100
72,23-05-2023,CUST072,Electronics,4,500,2000
73,21-08-2023,CUST073,Electronics,3,30,90
74,22-11-2023,CUST074,Beauty,4,500,2000
75,06-07-2023,CUST075,Beauty,4,50,200
76,25-03-2023,CUST076,Electronics,2,50,100
77,09-07-2023,CUST077,Clothing,2,50,100
78,01-07-2023,CUST078,Clothing,3,500,1500
79,18-04-2023,CUST079,Beauty,1,300,300
80,10-12-2023,CUST080,Clothing,2,30,60
81,17-05-2023,CUST081,Electronics,1,50,50
82,26-12-2023,CUST082,Beauty,4,50,200
83,16-12-2023,CUST083,Electronics,2,50,100
84,28-11-2023,CUST084,Electronics,3,30,90
85,06-02-2023,CUST085,Clothing,3,50,150
86,08-11-2023,CUST086,Beauty,3,30,90
87,22-11-2023,CUST087,Beauty,2,50,100
88,29-03-2023,CUST088,Clothing,1,500,500
89,01-10-2023,CUST089,Electronics,4,500,2000
90,06-05-2023,CUST090,Electronics,1,30,30
91,25-03-2023,CUST091,Electronics,1,500,500
92,25-08-2023,CUST092,Electronics,4,30,120
93,14-07-2023,CUST093,Beauty,4,500,2000
94,19-05-2023,CUST094,Beauty,2,500,1000
95,24-11-2023,CUST095,Clothing,2,30,60
96,19-12-2023,CUST096,Clothing,2,300,600
97,13-10-2023,CUST097,Beauty,2,500,1000
98,23-04-2023,CUST098,Beauty,2,50,100
99,17-12-2023,CUST099,Electronics,4,300,1200
100,16-06-2023,CUST100,Electronics,1,30,30
101,29-01-2023,CUST101,Clothing,2,300,600
102,28-04-2023,CUST102,Beauty,2,25,50
103,17-01-2023,CUST103,Clothing,1,25,25
104,11-06-2023,CUST104,Beauty,2,500,1000
105,25-07-2023,CUST105,Electronics,1,500,500
106,18-05-2023,CUST106,Clothing,1,50,50
107,03-02-2023,CUST107,Clothing,4,300,1200
108,19-04-2023,CUST108,Beauty,3,25,75
109,18-10-2023,CUST109,Electronics,4,500,2000
110,11-06-2023,CUST110,Clothing,3,300,900
